user_id,retweet_user_id,screen_name,retweet_screen_name,retweet_created_at,text,time
x1006232250,x75273087,Taraustralis,tonyveco,2020/1/13 6:09,"With cloud-free conditions today it is possible to look at #AustralianBushfire #NSWfires #victoriabushfires with their massive smoke. Here the view of @CopernicusEU #Sentinel3. @nswfire @vanbadham @takvera @Asher_Wolf
 @CleanAirLondon @AmanthaP @autoday @ESA_EO @EO_OPEN_SCIENCE https://t.co/p7fJlwptRR",2020/1/13 6:09
x1031691314536935424,x75273087,BCWildfireWkly,tonyveco,2020/1/13 6:09,"With cloud-free conditions today it is possible to look at #AustralianBushfire #NSWfires #victoriabushfires with their massive smoke. Here the view of @CopernicusEU #Sentinel3. @nswfire @vanbadham @takvera @Asher_Wolf
 @CleanAirLondon @AmanthaP @autoday @ESA_EO @EO_OPEN_SCIENCE https://t.co/p7fJlwptRR",2020/1/13 6:09
x408684495,x737231087122960384,chigginjones,lavacastyle,2020/1/13 7:19,<U+0001F494><U+0001F428> #Australia #AustralianBushfire #koalas https://t.co/8rO7EVzEfm,2020/1/13 7:19
x1079365759292235776,x896779492848312322,honey72550514,NeedBTSinmylife,2020/1/13 7:28,"<U+6D77><U+5916><U+306E><U+6A5F><U+95A2><U+3084><U+56E3><U+4F53><U+3078><U+306E><U+5BC4><U+4ED8><U+306B><U+4E0D><U+5B89><U+304C><U+3042><U+308B><U+65B9><U+306F><U+3086><U+3075><U+3041><U+3055><U+3093><U+304C><U+60C5><U+5831><U+3092><U+5171><U+6709><U+3057><U+3066><U+4E0B><U+3055><U+3063><U+305F><U+3088><U+3046><U+306B><U+3001><U+30ED><U+30C3><U+30C6><U+3092><U+901A><U+3058><U+3066>(<U+30B3><U+30A2><U+30E9><U+306E><U+30DE><U+30FC><U+30C1><U+3092><U+8CFC><U+5165><U+3059><U+308B>)<U+9593><U+63A5><U+7684><U+306B><U+5BC4><U+4ED8><U+3078><U+7E4B><U+304C><U+308B><U+652F><U+63F4><U+3082><U+3042><U+308B><U+305D><U+3046><U+3067><U+3059><U+3002><U+7C21><U+5358><U+306B><U+3067><U+304D><U+3066><U+3001><U+3055><U+3089><U+306B><U+7F8E><U+5473><U+3057><U+3044><U+304A><U+83D3><U+5B50><U+3082><U+98DF><U+3079><U+3089><U+308C><U+308B><U+306A><U+3093><U+3066><U+3044><U+3044><U+3053><U+3068><U+3060><U+3089><U+3051>!!!!!<U+79C1><U+3082><U+5C11><U+3057><U+305A><U+3064><U+8CB7><U+3044><U+7D9A><U+3051><U+307E><U+3059><U+263A>
#AustralianBushfire https://t.co/pnA58C87dN https://t.co/GIGqsmtELX",2020/1/13 7:28
x1193592684796973056,x896779492848312322,aikochibitaro,NeedBTSinmylife,2020/1/13 7:28,"<U+6D77><U+5916><U+306E><U+6A5F><U+95A2><U+3084><U+56E3><U+4F53><U+3078><U+306E><U+5BC4><U+4ED8><U+306B><U+4E0D><U+5B89><U+304C><U+3042><U+308B><U+65B9><U+306F><U+3086><U+3075><U+3041><U+3055><U+3093><U+304C><U+60C5><U+5831><U+3092><U+5171><U+6709><U+3057><U+3066><U+4E0B><U+3055><U+3063><U+305F><U+3088><U+3046><U+306B><U+3001><U+30ED><U+30C3><U+30C6><U+3092><U+901A><U+3058><U+3066>(<U+30B3><U+30A2><U+30E9><U+306E><U+30DE><U+30FC><U+30C1><U+3092><U+8CFC><U+5165><U+3059><U+308B>)<U+9593><U+63A5><U+7684><U+306B><U+5BC4><U+4ED8><U+3078><U+7E4B><U+304C><U+308B><U+652F><U+63F4><U+3082><U+3042><U+308B><U+305D><U+3046><U+3067><U+3059><U+3002><U+7C21><U+5358><U+306B><U+3067><U+304D><U+3066><U+3001><U+3055><U+3089><U+306B><U+7F8E><U+5473><U+3057><U+3044><U+304A><U+83D3><U+5B50><U+3082><U+98DF><U+3079><U+3089><U+308C><U+308B><U+306A><U+3093><U+3066><U+3044><U+3044><U+3053><U+3068><U+3060><U+3089><U+3051>!!!!!<U+79C1><U+3082><U+5C11><U+3057><U+305A><U+3064><U+8CB7><U+3044><U+7D9A><U+3051><U+307E><U+3059><U+263A>
#AustralianBushfire https://t.co/pnA58C87dN https://t.co/GIGqsmtELX",2020/1/13 7:28
x2681647628,x29455588,LizDolphinfluff,sammostyn,2020/1/13 8:47,â€œWhether global leaders act boldly will determine if the heartbreaking images from #Australia that have now gripped the world are a tragic aberration or a look at whatâ€™s to come.â€�?Via @TIME #AustralianBushfire #australiafires #ClimateChange #ClimateAction #auspol #leadership,2020/1/13 8:47
x17111029,x29455588,Aitch_El,sammostyn,2020/1/13 8:47,â€œWhether global leaders act boldly will determine if the heartbreaking images from #Australia that have now gripped the world are a tragic aberration or a look at whatâ€™s to come.â€�?Via @TIME #AustralianBushfire #australiafires #ClimateChange #ClimateAction #auspol #leadership,2020/1/13 8:47
x1216222197380812801,x34226762,BlueSkyCommuni3,unitedsikhs,2020/1/13 8:54,"A rich life is lived from a giving heart
.
Urging all to volunteer or donate to help Bushfire Disaster Relief
.
Volunteer | Donate
https://t.co/UHc0XSBmUL

#australianbushfire
#australiaonfire
#bushfiresaustralia
#vicfires https://t.co/AAq8w25IaQ",2020/1/13 8:54
x902276340,x825783812227489794,marilynwinders,Jr3597,2020/1/13 9:19,"174/<U+0001F1E6><U+0001F1FA><U+0001F3C7><U+0001F3FF> #AustraliaBushfires
Offer of space for up to #horses in #Wollongong - water/can feed if needed.

Contact<U+0001F517> https://t.co/kYdX8cpeQl

No fb? DM me, I'll contact for you!

OP<U+0001F517> https://t.co/GFsBJ3kPRi

#AustraliaBurning #Australia #Equine #DAT #bushfires #AustralianBushfire https://t.co/T4g7jN4hPY",2020/1/13 9:19
x3154207014,x825783812227489794,HumboldtBunny,Jr3597,2020/1/13 9:19,"174/<U+0001F1E6><U+0001F1FA><U+0001F3C7><U+0001F3FF> #AustraliaBushfires
Offer of space for up to #horses in #Wollongong - water/can feed if needed.

Contact<U+0001F517> https://t.co/kYdX8cpeQl

No fb? DM me, I'll contact for you!

OP<U+0001F517> https://t.co/GFsBJ3kPRi

#AustraliaBurning #Australia #Equine #DAT #bushfires #AustralianBushfire https://t.co/T4g7jN4hPY",2020/1/13 9:19
