source,destination,timestamp,time
13,109,2,2020-01-01 01
13,126,2,2020-01-01 01
13,138,2,2020-01-01 01
14,57,2,2020-01-01 01
15,62,2,2020-01-01 01
15,146,2,2020-01-01 01
16,50,2,2020-01-01 01
16,52,2,2020-01-01 01
16,59,2,2020-01-01 01
16,65,2,2020-01-01 01
16,106,2,2020-01-01 01
16,118,2,2020-01-01 01
16,125,2,2020-01-01 01
16,126,2,2020-01-01 01
18,128,2,2020-01-01 01
19,59,2,2020-01-01 01
20,27,2,2020-01-01 01
21,77,2,2020-01-01 01
22,84,2,2020-01-01 01
22,146,2,2020-01-01 01
24,111,2,2020-01-01 01
26,27,2,2020-01-01 01
26,57,2,2020-01-01 01
26,59,2,2020-01-01 01
26,67,2,2020-01-01 01
26,68,2,2020-01-01 01
26,77,2,2020-01-01 01
26,108,2,2020-01-01 01
26,111,2,2020-01-01 01
26,119,2,2020-01-01 01
26,146,2,2020-01-01 01
27,50,2,2020-01-01 01
27,57,2,2020-01-01 01
27,59,2,2020-01-01 01
27,67,2,2020-01-01 01
27,74,2,2020-01-01 01
27,78,2,2020-01-01 01
27,83,2,2020-01-01 01
27,94,2,2020-01-01 01
27,103,2,2020-01-01 01
27,104,2,2020-01-01 01
27,119,2,2020-01-01 01
27,144,2,2020-01-01 01
29,63,2,2020-01-01 01
33,130,2,2020-01-01 01
35,108,2,2020-01-01 01
35,109,2,2020-01-01 01
35,136,2,2020-01-01 01
39,42,2,2020-01-01 01
39,67,2,2020-01-01 01
39,95,2,2020-01-01 01
39,138,2,2020-01-01 01
39,143,2,2020-01-01 01
40,77,2,2020-01-01 01
40,108,2,2020-01-01 01
40,111,2,2020-01-01 01
42,50,2,2020-01-01 01
42,52,2,2020-01-01 01
42,63,2,2020-01-01 01
42,96,2,2020-01-01 01
42,138,2,2020-01-01 01
43,63,2,2020-01-01 01
43,68,2,2020-01-01 01
43,78,2,2020-01-01 01
43,109,2,2020-01-01 01
43,115,2,2020-01-01 01
43,140,2,2020-01-01 01
46,63,2,2020-01-01 01
46,144,2,2020-01-01 01
48,77,2,2020-01-01 01
48,118,2,2020-01-01 01
50,58,2,2020-01-01 01
50,59,2,2020-01-01 01
50,62,2,2020-01-01 01
50,66,2,2020-01-01 01
50,74,2,2020-01-01 01
50,82,2,2020-01-01 01
50,93,2,2020-01-01 01
50,95,2,2020-01-01 01
50,101,2,2020-01-01 01
50,106,2,2020-01-01 01
50,119,2,2020-01-01 01
50,128,2,2020-01-01 01
50,129,2,2020-01-01 01
50,132,2,2020-01-01 01
50,139,2,2020-01-01 01
50,140,2,2020-01-01 01
50,144,2,2020-01-01 01
51,108,2,2020-01-01 01
52,59,2,2020-01-01 01
52,77,2,2020-01-01 01
52,98,2,2020-01-01 01
52,108,2,2020-01-01 01
52,144,2,2020-01-01 01
53,57,2,2020-01-01 01
53,63,2,2020-01-01 01
53,77,2,2020-01-01 01
53,110,2,2020-01-01 01
53,117,2,2020-01-01 01
53,136,2,2020-01-01 01
54,61,2,2020-01-01 01
54,63,2,2020-01-01 01
54,64,2,2020-01-01 01
54,67,2,2020-01-01 01
54,96,2,2020-01-01 01
54,108,2,2020-01-01 01
55,63,2,2020-01-01 01
56,63,2,2020-01-01 01
57,59,2,2020-01-01 01
57,67,2,2020-01-01 01
57,73,2,2020-01-01 01
57,78,2,2020-01-01 01
57,109,2,2020-01-01 01
57,112,2,2020-01-01 01
57,126,2,2020-01-01 01
57,138,2,2020-01-01 01
57,146,2,2020-01-01 01
58,77,2,2020-01-01 01
58,106,2,2020-01-01 01
59,62,2,2020-01-01 01
59,82,2,2020-01-01 01
59,102,2,2020-01-01 01
59,106,2,2020-01-01 01
59,109,2,2020-01-01 01
59,111,2,2020-01-01 01
59,126,2,2020-01-01 01
59,143,2,2020-01-01 01
59,144,2,2020-01-01 01
60,128,2,2020-01-01 01
61,65,2,2020-01-01 01
61,70,2,2020-01-01 01
61,86,2,2020-01-01 01
61,94,2,2020-01-01 01
61,102,2,2020-01-01 01
61,108,2,2020-01-01 01
61,109,2,2020-01-01 01
61,112,2,2020-01-01 01
61,117,2,2020-01-01 01
62,74,2,2020-01-01 01
62,104,2,2020-01-01 01
62,106,2,2020-01-01 01
62,138,2,2020-01-01 01
62,140,2,2020-01-01 01
62,146,2,2020-01-01 01
63,66,2,2020-01-01 01
63,77,2,2020-01-01 01
63,102,2,2020-01-01 01
63,119,2,2020-01-01 01
63,127,2,2020-01-01 01
63,136,2,2020-01-01 01
63,137,2,2020-01-01 01
63,139,2,2020-01-01 01
63,140,2,2020-01-01 01
63,143,2,2020-01-01 01
63,144,2,2020-01-01 01
64,65,2,2020-01-01 01
64,93,2,2020-01-01 01
64,108,2,2020-01-01 01
64,111,2,2020-01-01 01
65,103,2,2020-01-01 01
65,108,2,2020-01-01 01
65,128,2,2020-01-01 01
65,143,2,2020-01-01 01
65,144,2,2020-01-01 01
66,84,2,2020-01-01 01
67,138,2,2020-01-01 01
67,143,2,2020-01-01 01
68,78,2,2020-01-01 01
68,86,2,2020-01-01 01
68,89,2,2020-01-01 01
68,108,2,2020-01-01 01
70,142,2,2020-01-01 01
73,78,2,2020-01-01 01
73,128,2,2020-01-01 01
74,77,2,2020-01-01 01
74,78,2,2020-01-01 01
74,83,2,2020-01-01 01
74,111,2,2020-01-01 01
74,119,2,2020-01-01 01
74,140,2,2020-01-01 01
75,78,2,2020-01-01 01
75,138,2,2020-01-01 01
